id,sid,name,lastupdate,totalshare,top10total,floatshare,top10float,list,weight,firstlevel,secondlevel,note,ext1,ext2,location,valid
467,sz001696,宗申动力,"2015-02-19 00:00:00",114534,29,89236,45,"750,1500,3000",1.5,交运设备,汽车零部件,NULL,NULL,NULL,重庆市,1
469,sz002001,"新 和 成","2015-02-19 00:00:00",108898,64,107290,63,"750,1500,3000",1.5,医药生物,化学制药,NULL,NULL,NULL,浙江省,1
473,sz002005,德豪润达,"2015-02-19 00:00:00",139665,34,116465,44,"750,1500,3000",1.5,电子,光学光电子,NULL,NULL,NULL,广东省,1
476,sz002008,大族激光,"2015-02-19 00:00:00",105615,32,95612,37,"750,1500,3000",1.5,电子,其他电子,NULL,NULL,NULL,广东省,1
486,sz002018,华信国际,"2015-02-19 00:00:00",119892,17,44741,68,"750,1500,3000",1.5,化工,化学制品,NULL,NULL,NULL,安徽省,1
515,sz002047,宝鹰股份,"2015-02-19 00:00:00",126265,33,34602,72,"750,1500,3000",1.5,建筑材料,建筑装饰,NULL,NULL,NULL,广东省,1
533,sz002065,东华软件,"2015-02-19 00:00:00",151499,52,132636,55,"750,1500,3000",1.5,信息服务,计算机应用,NULL,NULL,NULL,北京市,1
535,sz002067,景兴纸业,"2015-02-19 00:00:00",109432,8,96174,20,"750,1500,3000",1.5,轻工制造,造纸,NULL,NULL,NULL,浙江省,1
543,sz002075,沙钢股份,"2015-02-19 00:00:00",157611,80,157611,80,"750,1500,3000",1.5,黑色金属,钢铁,NULL,NULL,NULL,江苏省,1
546,sz002078,太阳纸业,"2015-02-19 00:00:00",229974,71,197787,73,"750,1500,3000",1.5,轻工制造,造纸,NULL,NULL,NULL,山东省,1
549,sz002081,"金 螳 螂","2015-02-19 00:00:00",176229,61,165843,59,"750,1500,3000",1.5,建筑材料,建筑装饰,NULL,NULL,NULL,江苏省,1
560,sz002092,中泰化学,"2015-02-19 00:00:00",139064,36,124217,42,"750,1500,3000",1.5,化工,基础化学,NULL,NULL,NULL,新疆维吾尔自治区,1
590,sz002122,天马股份,"2015-02-19 00:00:00",118780,56,105159,60,"750,1500,3000",1.5,机械设备,通用设备,NULL,NULL,NULL,浙江省,1
596,sz002128,露天煤业,"2015-02-19 00:00:00",132670,80,132670,80,"750,1500,3000",1.5,采掘,煤炭开采,NULL,NULL,NULL,内蒙古自治区,1
