code,name
sh1600000,浦发银行
sh1600004,白云机场
sh1600005,武钢股份
sh1600006,东风汽车
sh1600007,中国国贸
sh1600008,首创股份
sh1600009,上海机场
sh1600010,包钢股份
sh1600011,华能国际
sh1600012,皖通高速
sh1600015,华夏银行
sh1600016,民生银行
sh1600017,日照港
sh1600018,上港集团
sh1600019,宝钢股份
sh1600020,中原高速
sh1600021,上海电力
sh1600022,山东钢铁
sh1600023,浙能电力
sh1600026,中海发展
sh1600027,华电国际
sh1600028,中国石化
sh1600029,南方航空
sh1600030,中信证券
sh1600031,三一重工
sh1600033,福建高速
sh1600035,楚天高速
sh1600036,招商银行
sh1600037,歌华有线
sh1600038,哈飞股份
sh1600039,四川路桥
sh1600048,保利地产
sh1600050,中国联通
sh1600051,宁波联合
sh1600052,浙江广厦
sh1600053,中江地产
sh1600054,黄山旅游
sh1600055,华润万东
sh1600056,中国医药
sh1600057,象屿股份
sh1600058,五矿发展
sh1600059,古越龙山
sh1600060,海信电器
sh1600061,中纺投资
sh1600062,华润双鹤
sh1600063,皖维高新
sh1600064,南京高科
sh1600066,宇通客车
sh1600067,冠城大通
sh1600068,葛洲坝
sh1600069,银鸽投资
sh1600070,浙江富润
sh1600071,凤凰光学
sh1600072,*ST钢构
sh1600073,上海梅林
sh1600074,中达股份
sh1600075,*ST新业
sh1600076,青鸟华光
sh1600077,宋都股份
sh1600078,澄星股份
sh1600079,人福医药
sh1600080,金花股份
sh1600081,东风科技
sh1600082,海泰发展
sh1600083,博信股份
sh1600084,中葡股份
sh1600085,同仁堂
sh1600086,东方金钰
sh1600088,中视传媒
sh1600089,特变电工
sh1600090,啤酒花
sh1600091,ST明科
sh1600093,禾嘉股份
sh1600094,大名城
sh1600095,哈高科
sh1600096,云天化
sh1600097,开创国际
sh1600098,广州发展
sh1600099,林海股份
sh1600100,同方股份
sh1600101,明星电力
sh1600103,青山纸业
sh1600104,上汽集团
sh1600105,永鼎股份
sh1600106,重庆路桥
sh1600107,美尔雅
sh1600108,亚盛集团
sh1600109,国金证券
sh1600110,中科英华
sh1600111,包钢稀土
sh1600112,天成控股
sh1600113,浙江东日
sh1600114,东睦股份
sh1600115,东方航空
sh1600116,三峡水利
sh1600117,西宁特钢
sh1600118,中国卫星
sh1600119,长江投资
sh1600120,浙江东方
sh1600121,郑州煤电
sh1600122,宏图高科
sh1600123,XD兰花科
sh1600125,铁龙物流
sh1600126,杭钢股份
sh1600127,金健米业
sh1600128,弘业股份
sh1600129,太极集团
sh1600130,波导股份
sh1600131,岷江水电
sh1600132,重庆啤酒
sh1600133,东湖高新
sh1600135,乐凯胶片
sh1600136,道博股份
sh1600137,浪莎股份
sh1600138,中青旅
sh1600139,西部资源
sh1600141,兴发集团
sh1600143,金发科技
sh1600145,*ST国创
sh1600146,大元股份
sh1600148,长春一东
sh1600149,廊坊发展
sh1600150,中国船舶
sh1600151,航天机电
sh1600152,维科精华
sh1600153,建发股份
sh1600155,宝硕股份
sh1600156,华升股份
sh1600157,永泰能源
sh1600158,中体产业
sh1600159,大龙地产
sh1600160,巨化股份
sh1600161,天坛生物
sh1600162,香江控股
sh1600163,福建南纸
sh1600165,新日恒力
sh1600166,福田汽车
sh1600167,联美控股
sh1600168,武汉控股
sh1600169,太原重工
sh1600170,上海建工
sh1600171,上海贝岭
sh1600172,黄河旋风
sh1600173,卧龙地产
sh1600175,美都控股
sh1600176,中国玻纤
sh1600177,雅戈尔
sh1600178,*ST东安
sh1600179,黑化股份
sh1600180,瑞茂通
sh1600182,S佳通
sh1600183,生益科技
sh1600184,光电股份
sh1600185,格力地产
sh1600186,莲花味精
sh1600187,国中水务
sh1600188,兖州煤业
sh1600189,吉林森工
sh1600190,锦州港
sh1600191,华资实业
sh1600192,长城电工
sh1600193,创兴资源
sh1600195,中牧股份
sh1600196,复星医药
sh1600197,伊力特
sh1600198,大唐电信
sh1600199,金种子酒
sh1600200,江苏吴中
sh1600201,金宇集团
sh1600202,哈空调
sh1600203,福日电子
sh1600206,有研新材
sh1600207,安彩高科
sh1600208,新湖中宝
sh1600209,罗顿发展
sh1600210,紫江企业
sh1600211,西藏药业
sh1600212,江泉实业
sh1600213,亚星客车
sh1600215,长春经开
sh1600216,浙江医药
sh1600217,秦岭水泥
sh1600218,全柴动力
sh1600219,南山铝业
sh1600220,江苏阳光
sh1600221,海南航空
sh1600222,太龙药业
sh1600223,鲁商置业
sh1600225,天津松江
sh1600226,升华拜克
sh1600227,赤天化
sh1600228,*ST昌九
sh1600229,青岛碱业
sh1600230,沧州大化
sh1600231,凌钢股份
sh1600232,金鹰股份
sh1600233,大杨创世
sh1600234,山水文化
sh1600235,民丰特纸
sh1600236,桂冠电力
sh1600237,铜峰电子
sh1600238,海南椰岛
sh1600239,云南城投
sh1600240,华业地产
sh1600241,时代万恒
sh1600242,中昌海运
sh1600243,青海华鼎
sh1600246,万通地产
sh1600247,*ST成城
sh1600248,延长化建
sh1600249,两面针
sh1600250,南纺股份
sh1600251,冠农股份
sh1600252,中恒集团
sh1600255,鑫科材料
sh1600256,广汇能源
sh1600257,大湖股份
sh1600258,首旅酒店
sh1600259,广晟有色
sh1600260,凯乐科技
sh1600261,阳光照明
sh1600262,北方股份
sh1600265,ST景谷
sh1600266,北京城建
sh1600267,海正药业
sh1600268,国电南自
sh1600269,赣粤高速
sh1600270,外运发展
sh1600271,航天信息
sh1600272,开开实业
sh1600273,华芳纺织
sh1600275,武昌鱼
sh1600276,恒瑞医药
sh1600277,亿利能源
sh1600278,东方创业
sh1600279,重庆港九
sh1600280,中央商场
sh1600281,太化股份
sh1600282,*ST南钢
sh1600283,钱江水利
sh1600284,浦东建设
sh1600285,羚锐制药
sh1600287,江苏舜天
sh1600288,大恒科技
sh1600289,亿阳信通
sh1600290,华仪电气
sh1600291,西水股份
sh1600292,中电远达
sh1600293,三峡新材
sh1600295,鄂尔多斯
sh1600297,美罗药业
sh1600298,安琪酵母
sh1600299,*ST新材
sh1600300,维维股份
sh1600301,ST南化
sh1600302,标准股份
sh1600303,曙光股份
sh1600305,恒顺醋业
sh1600306,*ST商城
sh1600307,酒钢宏兴
sh1600308,华泰股份
sh1600309,万华化学
sh1600310,桂东电力
sh1600311,荣华实业
sh1600312,平高电气
sh1600313,农发种业
sh1600315,上海家化
sh1600316,洪都航空
sh1600317,营口港
sh1600318,巢东股份
sh1600319,亚星化学
sh1600320,振华重工
sh1600321,国栋建设
sh1600322,天房发展
sh1600323,瀚蓝环境
sh1600325,华发股份
sh1600326,西藏天路
sh1600327,大东方
sh1600328,兰太实业
sh1600329,中新药业
sh1600330,天通股份
sh1600331,宏达股份
sh1600332,白云山
sh1600333,长春燃气
sh1600335,国机汽车
sh1600336,澳柯玛
sh1600337,美克股份
sh1600338,西藏珠峰
sh1600339,天利高新
sh1600340,华夏幸福
sh1600343,航天动力
sh1600345,长江通信
sh1600346,大橡塑
sh1600348,阳泉煤业
sh1600350,山东高速
sh1600351,亚宝药业
sh1600352,浙江龙盛
sh1600353,XD旭光股
sh1600354,敦煌种业
sh1600355,精伦电子
sh1600356,恒丰纸业
sh1600358,国旅联合
sh1600359,新农开发
sh1600360,华微电子
sh1600361,华联综超
sh1600362,江西铜业
sh1600363,联创光电
sh1600365,通葡股份
sh1600366,宁波韵升
sh1600367,红星发展
sh1600368,五洲交通
sh1600369,西南证券
sh1600370,三房巷
sh1600371,万向德农
sh1600372,中航电子
sh1600373,中文传媒
sh1600375,华菱星马
sh1600376,首开股份
sh1600377,宁沪高速
sh1600378,天科股份
sh1600379,宝光股份
sh1600380,健康元
sh1600381,*ST贤成
sh1600382,广东明珠
sh1600383,金地集团
sh1600386,北巴传媒
sh1600387,海越股份
sh1600388,龙净环保
sh1600389,江山股份
sh1600390,金瑞科技
sh1600391,成发科技
sh1600392,盛和资源
sh1600393,东华实业
sh1600395,盘江股份
sh1600396,金山股份
sh1600397,安源煤业
sh1600398,海澜之家
sh1600399,抚顺特钢
sh1600400,红豆股份
sh1600401,海润光伏
sh1600403,大有能源
sh1600405,动力源
sh1600406,国电南瑞
sh1600408,安泰集团
sh1600409,三友化工
sh1600410,华胜天成
sh1600415,小商品城
sh1600416,湘电股份
sh1600418,江淮汽车
sh1600419,天润乳业
sh1600420,现代制药
sh1600421,仰帆控股
sh1600422,昆明制药
sh1600423,柳化股份
sh1600425,青松建化
sh1600426,华鲁恒升
sh1600428,中远航运
sh1600429,三元股份
sh1600432,吉恩镍业
sh1600433,冠豪高新
sh1600435,北方导航
sh1600436,片仔癀
sh1600438,通威股份
sh1600439,瑞贝卡
sh1600444,国通管业
sh1600446,金证股份
sh1600448,华纺股份
sh1600449,宁夏建材
sh1600452,涪陵电力
sh1600455,博通股份
sh1600456,宝钛股份
sh1600458,时代新材
sh1600459,贵研铂业
sh1600460,士兰微
sh1600461,洪城水业
sh1600462,石岘纸业
sh1600463,空港股份
sh1600466,迪康药业
sh1600467,好当家
sh1600468,百利电气
sh1600469,XD风神股
sh1600470,六国化工
sh1600475,华光股份
sh1600476,湘邮科技
sh1600477,杭萧钢构
sh1600478,科力远
sh1600479,千金药业
sh1600480,凌云股份
sh1600481,双良节能
sh1600482,风帆股份
sh1600483,福建南纺
sh1600485,中创信测
sh1600486,扬农化工
sh1600487,亨通光电
sh1600488,天药股份
sh1600489,中金黄金
sh1600490,鹏欣资源
sh1600491,龙元建设
sh1600493,凤竹纺织
sh1600495,晋西车轴
sh1600496,精工钢构
sh1600497,驰宏锌锗
sh1600498,烽火通信
sh1600499,科达洁能
sh1600500,中化国际
sh1600501,航天晨光
sh1600502,安徽水利
sh1600503,华丽家族
sh1600505,西昌电力
sh1600506,香梨股份
sh1600507,方大特钢
sh1600508,上海能源
sh1600509,天富能源
